replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,system_rt_mean,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,processed_legal_share,processed_illegal_share,completed_legal_share,completed_illegal_share,completed_legal_of_completed_share,completed_illegal_of_completed_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
1,1200.0,2.8832026501335832,0.9999993432582102,6.766666666666667,0.002119587916576599,0.28975007749786075,262.875,2.7756122757470516,322256,3202,315450,49,transitory_x40,transitory,False,0.8999491087830793,0.09785077702199493,0.8810293679559108,0.0966312496896877,0.8699294970458269,0.09997431616797225,0.9000256838320277,3.3413191159882607,0.9999738675652946,5.789166666666667,2.9832814812567325,0.9999318405457005,6.529166666666667,2.8487046680486956,0.9998878938807919,6.83,3.0830746832687317,0.9998490919751375,6.286666666666667
1,1300.0,2.868064507704412,0.9999993937768094,6.8246153846153845,0.002121074419294567,0.2892985275820155,262.2876923076923,2.7760290685154208,348352,3432,340974,49,transitory_x40,transitory,False,0.9002589334925593,0.09754788260150653,0.8812723911445893,0.09637665349990814,0.8705275124012493,0.09967549721960793,0.9003245027803921,3.3542364753250973,0.9999758777525797,5.800769230769231,2.9858890662929327,0.9999370835806466,6.439230769230769,2.865285659715526,0.9998965174284232,6.74,3.032647370521926,0.9998607002847423,6.38
1,1400.0,2.8695632132604776,0.9999994370784658,6.751428571428572,0.0021173778724701553,0.28880041744044743,262.05785714285713,2.782380991237245,374780,3680,366881,49,transitory_x40,transitory,False,0.9002988419872993,0.0975078712844869,0.88141576391483,0.09634985858370244,0.8710149954640055,0.09960032988644293,0.900399670113557,3.375195226215647,0.9999776007702526,5.811428571428571,3.0087680466432367,0.9999415776106004,6.38,2.91568087696397,0.9999039090406787,6.605,3.0205544319840336,0.9998706502644036,6.426428571428572
1,1500.0,2.858699545883932,0.9999994746065681,6.834,0.0021174296160403547,0.2890293437706553,262.29533333333336,2.780638986095828,401945,3962,393443,49,transitory_x40,transitory,False,0.9001355906902686,0.09768251875256564,0.8811653335655376,0.09652066825063131,0.8707459975867345,0.0997870304639032,0.9002129695360968,3.3260594372143495,0.9999790940522357,5.794666666666667,3.0247724350759326,0.9999454724365604,6.366666666666666,2.966508170807918,0.9999103151046335,6.584,3.0189998073203257,0.99987927358011,6.429333333333333
1,1600.0,2.873108144624588,0.9999995074436576,6.728125,0.0021169098277822496,0.2886695870087294,262.13,2.786519430374612,428478,4213,419408,49,transitory_x40,transitory,False,0.900046210073796,0.09777164755249977,0.8810604045015147,0.0966000588128212,0.8706584702131731,0.09986994781022514,0.9001300521897748,3.3503213833318406,0.999980400673971,5.836875,3.0882549789248235,0.9999488804092753,6.2925,2.973775956769962,0.999915920410594,6.54375,3.0149827186651743,0.9998868189813531,6.4425
1,1700.0,2.9034735328520576,0.9999995364175601,6.728235294117647,0.0021174953406776905,0.2886302917359951,262.0805882352941,2.7940923015275625,455176,4463,445537,49,transitory_x40,transitory,False,0.9001023779812644,0.09771824525018893,0.8811053306852734,0.09657802696099971,0.8709378350352391,0.09982061354708327,0.9001793864529167,3.2782286367439926,0.9999815535755021,5.983529411764706,3.1055244491600345,0.9999518874440239,6.24764705882353,2.9958246342052304,0.9999208662687943,6.464117647058823,3.027674012798593,0.9998934766883324,6.4
1,1800.0,2.9457932865310714,0.9999995621721401,6.562222222222222,0.002118386471143181,0.2889657607103814,262.36611111111114,2.794176357237788,482483,4720,472259,49,transitory_x40,transitory,False,0.9000607275282237,0.09777132044030568,0.881038295649795,0.09663138390368158,0.8708659165193385,0.0998776780683846,0.9001223219316155,3.2355886612734484,0.9999825783768631,6.083888888888889,3.144916291104977,0.9999545603638003,6.225,3.0065153876293307,0.9999252625871946,6.467777777777778,3.051812511323505,0.9998993946500917,6.317222222222222
1,1900.0,2.9945307441948175,0.9999995852157116,6.50578947368421,0.002117330722292267,0.2893123503387392,262.7263157894737,2.802920808359678,509993,4988,499180,49,transitory_x40,transitory,False,0.9000750990699873,0.09774447884578807,0.8810532693585991,0.09658956103319065,0.871000190198689,0.0998249112397257,0.9001750887602743,3.183337519770162,0.9999834953043967,6.162105263157895,3.1479488798957496,0.9999569519236003,6.171578947368421,3.0327205840104403,0.999929196135237,6.46,3.0876732712689794,0.9999046896685079,6.348947368421053
2,100.0,2.098312143054003,0.9999828413094862,7.07,0.002089222813916679,0.2824339651692126,258.41,1.9077599418094262,26391,271,25841,40,transitory_x40,transitory,False,0.897237694668637,0.10037512788450609,0.8787844340873783,0.09628282368989428,0.8477890189837445,0.10198675496688742,0.8980132450331125,2.028454125782907,0.9995701863435013,8.8,2.2729651528976063,0.9955515164975459,6.57,2.0613631441534097,0.9951193200057403,7.55,2.0640622887040956,0.9945682478271461,8.78
2,200.0,2.5494171115199262,0.999991420654743,6.655,0.002109184925844343,0.2840881257097344,258.175,2.2310746798547534,52756,524,51635,45,transitory_x40,transitory,False,0.8979452574114792,0.09989385093638638,0.8788573811509591,0.097600272954735,0.859371445901888,0.10198867012637167,0.8980113298736283,2.2639640996713175,0.9997850931717506,8.23,2.722121756124386,0.9977757582487731,6.3,2.2901336318512944,0.9975596600028702,7.575,2.264426859925784,0.9972841239135731,8.19
2,300.0,2.7482754567094245,0.9999942804364953,6.71,0.0020999429328524893,0.28555047122138033,260.15,2.4077801884919343,79653,771,78045,47,transitory_x40,transitory,False,0.8991877267648425,0.09896676835775174,0.88084566808532,0.09675718428684418,0.8638218271753731,0.10072798086599663,0.8992720191340033,2.4350874616250113,0.999856728781167,7.366666666666666,2.7496103723142715,0.9985171721658486,6.64,2.488150694000869,0.9983731066685803,7.403333333333333,2.3541658722750465,0.998189415942382,7.736666666666666
2,400.0,2.7178812551293254,0.9999957103273716,6.76,0.00210669284365441,0.28400247045458854,258.64,2.5459819000353496,105646,1021,103456,47,transitory_x40,transitory,False,0.899286295742385,0.09874486492626318,0.8805255286522916,0.09697480264278818,0.8655699221929841,0.10074836019628475,0.8992516398037153,2.5571500307680477,0.9998925465858752,7.1075,2.745248973284602,0.9988878791243865,6.675,2.6243818315646794,0.9987798300014351,7.0925,2.5084811643406506,0.9986420619567865,7.6575
