replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
1,13200.0,3.1886396088076703,0.9999999236450725,6.199545454545454,0.0021137686323430284,0.2859671617344458,260.05636363636364,3507737,34341,3432744,50,finite simulation,finite simulation,False,0.900072610916953,3.1190885464971707,0.9999979445138657,6.328787878787879,3.126973433297106,0.9999777947034747,6.316439393939394,3.1052556474489394,0.9999733421375794,6.3525,3.0854857989248514,0.9999595939125265,6.384848484848485
1,13300.0,3.184452146895653,0.9999999242191697,6.208345864661654,0.002113836490179901,0.2860786808208558,260.1561654135338,3535656,34580,3460077,50,finite simulation,finite simulation,False,0.9000785144256115,3.1236407731083786,0.9999979599686486,6.320451127819549,3.1233277743629206,0.9999779616605915,6.316766917293233,3.1037909355730218,0.9999735425726352,6.359774436090226,3.0911879102133524,0.9999598977176956,6.3766917293233085
1,13400.0,3.1868954269759797,0.9999999247846983,6.195671641791045,0.002113741444928892,0.2861306997510335,260.2071641791045,3562938,34856,3486776,50,finite simulation,finite simulation,False,0.9000838633734295,3.1250784395169817,0.9999979751927631,6.3191791044776116,3.1276568475883075,0.9999781261258109,6.304701492537314,3.094716551598149,0.9999737400161229,6.376268656716418,3.089758474025323,0.999960196988459,6.37634328358209
1,13500.0,3.195758083198679,0.9999999253418487,6.1786666666666665,0.002113715559329639,0.28616063008542225,260.2288148148148,3589812,35112,3513089,50,finite simulation,finite simulation,False,0.9000655187513998,3.1282662263249503,0.9999979901913353,6.312,3.1263033221580185,0.9999782881545086,6.306,3.0943633113852624,0.999973934534522,6.3720740740740744,3.0901714454198985,0.9999604918255816,6.37962962962963
1,13600.0,3.1959309676944088,0.9999999258908057,6.180367647058824,0.0021138574394851876,0.2862087003955979,260.25742647058826,3616774,35346,3539501,50,finite simulation,finite simulation,False,0.9000543025359063,3.126835196479899,0.9999980049693402,6.319558823529412,3.1225691831637894,0.9999784478004313,6.3177941176470584,3.095233806120837,0.9999741261923564,6.375808823529412,3.087302009331435,0.999960782326864,6.38625
1,13700.0,3.1962943030244237,0.9999999264317487,6.185182481751824,0.002113623507006044,0.2861219764435859,260.1788321167883,3642183,35584,3564450,50,finite simulation,finite simulation,False,0.9000635058699686,3.123539392607117,0.9999980195316078,6.323576642335766,3.1241535778804246,0.9999786051157566,6.317664233576642,3.0991129047340347,0.9999743150522662,6.364963503649635,3.0880404301716453,0.9999610685872519,6.381094890510949
1,13800.0,3.193342354996288,0.999999926964852,6.192971014492754,0.002113485489156461,0.28614345137704006,260.1957971014493,3668981,35849,3590702,50,finite simulation,finite simulation,False,0.9000594442980218,3.1233974394646657,0.999998033882828,6.325942028985507,3.121479296239135,0.9999787601511497,6.324202898550725,3.097292943181644,0.9999745011750759,6.372536231884058,3.086835506849928,0.9999613506989384,6.386376811594203
1,13900.0,3.1885498673129615,0.9999999274902847,6.19568345323741,0.002113612451867671,0.28609498105677633,260.1415107913669,3694797,36108,3615967,50,finite simulation,finite simulation,False,0.900058650042208,3.1257645332922417,0.9999980480275559,6.317769784172662,3.1201540659440203,0.9999789129558178,6.3222302158273385,3.0929631197535814,0.9999746846198595,6.375395683453237,3.090778432508999,0.9999616287514641,6.3717985611510795
1,14000.0,3.1875197731500013,0.9999999280082112,6.202642857142857,0.002113717443057008,0.2861366077244094,260.1697142857143,3721792,36392,3642376,50,finite simulation,finite simulation,False,0.9000395508400254,3.1291205494694183,0.9999980619702162,6.3125,3.1209192894663347,0.9999790635775619,6.324571428571429,3.0966046837998884,0.9999748654440034,6.376142857142857,3.094408363332027,0.9999619028318107,6.356714285714285
1,14100.0,3.181935734960637,0.9999999285187913,6.21645390070922,0.0021138801744238944,0.2860642127127178,260.0890070921986,3747257,36631,3667255,50,finite simulation,finite simulation,False,0.9000135298966684,3.1299813697598178,0.9999980757151082,6.309858156028369,3.1240154747479005,0.9999792120628275,6.3176595744680855,3.091919103877116,0.9999750437032657,6.380070921985816,3.1080748971237546,0.999962173024493,6.347801418439716
